Regions,Ad Types,eCPM API
RU,Interstitial,9.3273
RU,Rewarded Video,11.624
SA,Banner,0.2005
SA,Interstitial,8.6524
SA,Rewarded Video,15.7871
SC,Interstitial,0.972
SC,Rewarded Video,1.248
SD,Interstitial,0.444
SD,Rewarded Video,1.056
SE,Banner,0.1383
SE,Interstitial,6.8998
SE,Rewarded Video,8.3136
SG,Banner,0.4352
SG,Interstitial,15.1063
SG,Rewarded Video,21.5652
SI,Interstitial,2.436
SI,Rewarded Video,4.584
SK,Interstitial,2.136
SK,Rewarded Video,4.176
SL,Interstitial,1.164
SL,Rewarded Video,0.276
SN,Interstitial,0.672
SN,Rewarded Video,1.212
SO,Interstitial,0.732
SO,Rewarded Video,1.944
SR,Interstitial,0.504
SR,Rewarded Video,3.492
SY,Interstitial,0.42
SY,Rewarded Video,0.456
SZ,Interstitial,0.252
TG,Rewarded Video,1.02
TH,Banner,0.0938
TH,Interstitial,3.7195
TH,Rewarded Video,5.6463
TJ,Banner,0.0254
TJ,Interstitial,1.183
TJ,Rewarded Video,1.7067
TM,Interstitial,1.308
TM,Rewarded Video,3.276
TN,Interstitial,1.032
TN,Rewarded Video,0.66
TR,Banner,0.0723
TR,Interstitial,3.9867
TR,Rewarded Video,6.1673
TT,Interstitial,1.224
TT,Rewarded Video,1.512
TW,Banner,1.4
TW,Interstitial,14
TW,Rewarded Video,17
TZ,Interstitial,1.452
TZ,Rewarded Video,2.208
UA,Banner,0.0741
UA,Interstitial,3.2612
UA,Rewarded Video,5.0518
UG,Interstitial,1.512
UG,Rewarded Video,5.352
UK,Banner,0.3434
UK,Interstitial,21.5014
UK,Rewarded Video,30.7692
US,Banner,0.728
US,Interstitial,34.3579
US,Rewarded Video,48.4617
UY,Interstitial,1.272
UY,Rewarded Video,1.596
UZ,Banner,0.0828
UZ,Interstitial,1.9372
UZ,Rewarded Video,2.8517
VE,Interstitial,0.72
VE,Rewarded Video,1.152
VN,Banner,0.0442
VN,Interstitial,2.0919
